nom_commune_adherente;code_insee_commune_adherente;zip_code;nom_commune_zip
Saint-Bonnet-de-Cray;71393;71340;Saint-Bonnet-de-Cray, 71340
Chenay-le-Châtel;71123;71340;Chenay-le-Châtel, 71340
Melay;71291;71340;Melay, 71340
Pleine-Sève;76504;76460;Pleine-Sève, 76460
Néville;76467;76460;Néville, 76460
Ingouville;76375;76460;Ingouville, 76460
Saint-Riquier-ès-Plains;76646;76460;Saint-Riquier-ès-Plains, 76460
Saint-Sylvain;76651;76460;Saint-Sylvain, 76460
Le Mesnil-Durdent;76428;76460;Le Mesnil-Durdent, 76460
Manneville-ès-Plains;76407;76460;Manneville-ès-Plains, 76460
Saint-Valery-en-Caux;76655;76460;Saint-Valery-en-Caux, 76460
Blosseville;76104;76460;Blosseville, 76460
Gueutteville-les-Grès;76336;76460;Gueutteville-les-Grès, 76460
Sainte-Colombe;76569;76460;Sainte-Colombe, 76460
Cailleville;76151;76460;Cailleville, 76460
Drosay;76221;76460;Drosay, 76460
Montézic;12151;12460;Montézic, 12460
Saint-Amans-des-Cots;12209;12460;Saint-Amans-des-Cots, 12460
Huparlac;12116;12460;Huparlac, 12460
Saint-Symphorien-de-Thénières;12250;12460;Saint-Symphorien-de-Thénières, 12460
Campouriez;12048;12460;Campouriez, 12460
Le Rove;13088;13740;Le Rove, 13740
Senlis-le-Sec;80733;80300;Senlis-le-Sec, 80300
Baizieux;80052;80300;Baizieux, 80300
Ovillers-la-Boisselle;80615;80300;Ovillers-la-Boisselle, 80300
Millencourt;80547;80300;Millencourt, 80300
Thiepval;80753;80300;Thiepval, 80300
Mesnil-Martinsart;80540;80300;Mesnil-Martinsart, 80300
Méaulte;80523;80300;Méaulte, 80300
Dernancourt;80238;80300;Dernancourt, 80300
Carnoy-Mametz;80505;80300;Carnoy-Mametz, 80300
Albert;80016;80300;Albert, 80300
Ville-sur-Ancre;80807;80300;Ville-sur-Ancre, 80300
Authuille;80045;80300;Authuille, 80300
Aveluy;80047;80300;Aveluy, 80300
Bouzincourt;80129;80300;Bouzincourt, 80300
Buire-sur-l'Ancre;80151;80300;Buire-sur-l'Ancre, 80300
Bécordel-Bécourt;80073;80300;Bécordel-Bécourt, 80300
Englebelmer;80266;80300;Englebelmer, 80300
Morlancourt;80572;80300;Morlancourt, 80300
Bresle;80138;80300;Bresle, 80300
Irles;80451;80300;Irles, 80300
Mametz;80505;80300;Mametz, 80300
Bazentin;80059;80300;Bazentin, 80300
Laviéville;80468;80300;Laviéville, 80300
Montauban-de-Picardie;80560;80300;Montauban-de-Picardie, 80300
Beaumont-Hamel;80069;80300;Beaumont-Hamel, 80300
Courcelette;80216;80300;Courcelette, 80300
Warloy-Baillon;80820;80300;Warloy-Baillon, 80300
Pozières;80640;80300;Pozières, 80300
Miraumont;80549;80300;Miraumont, 80300
Fricourt;80366;80300;Fricourt, 80300
Beaucourt-sur-l'Ancre;80065;80300;Beaucourt-sur-l'Ancre, 80300
Treux;80769;80300;Treux, 80300
Hénencourt;80429;80300;Hénencourt, 80300
Contalmaison;80206;80300;Contalmaison, 80300
Pys;80648;80300;Pys, 80300
Grandcourt;80384;80300;Grandcourt, 80300
Soual;81289;81580;Soual, 81580
Cambounet-sur-le-Sor;81054;81580;Cambounet-sur-le-Sor, 81580
Salles-de-Barbezieux;16360;16300;Salles-de-Barbezieux, 16300
Lignières-Sonneville;16186;16300;Lignières-Sonneville, 16300
MONTCHAUDE;16224;16300;MONTCHAUDE, 16300
Lignières-Ambleville;16186;16300;Lignières-Ambleville, 16300
Barbezieux-Saint-Hilaire;16028;16300;Barbezieux-Saint-Hilaire, 16300
Lachaise;16176;16300;Lachaise, 16300
Lagarde-sur-le-Né;16178;16300;Lagarde-sur-le-Né, 16300
Criteuil-la-Magdeleine;16116;16300;Criteuil-la-Magdeleine, 16300
Saint-Bonnet;16303;16300;Saint-Bonnet, 16300
